match_id,home_team_id,away_team_id,stadium_id,match_date
M1,T06,T03,S06,2026-06-11
M2,T06,T04,S05,2026-06-13
M3,T02,T04,S09,2026-06-14
M4,T04,T03,S08,2026-06-15
M5,T07,T05,S09,2026-06-16
M6,T04,T07,S01,2026-06-17
M7,T04,T01,S06,2026-06-18
M8,T07,T05,S02,2026-06-20
M9,T04,T07,S04,2026-06-22
M10,T08,T07,S08,2026-06-24
M11,T03,T06,S03,2026-06-25
M12,T04,T10,S09,2026-06-27
M13,T05,T08,S10,2026-06-28
M14,T07,T06,S04,2026-07-01
M15,T03,T10,S08,2026-07-02
M16,T02,T01,S02,2026-07-03
M17,T03,T04,S07,2026-07-05
M18,T10,T02,S07,2026-07-06
M19,T07,T09,S09,2026-07-08
M20,T05,T10,S01,2026-07-09
M21,T02,T10,S05,2026-07-10
M22,T06,T02,S05,2026-07-12
M23,T07,T03,S08,2026-07-15
M24,T01,T06,S09,2026-07-16
M25,T03,T10,S02,2026-07-19
M26,T05,T10,S10,2026-07-25
M27,T04,T03,S06,2026-07-29
M28,T03,T10,S09,2026-07-31
M29,T01,T07,S08,2026-08-02
M30,T01,T03,S06,2026-08-03
M31,T05,T04,S01,2026-08-04
M32,T04,T02,S02,2026-08-07
M33,T08,T02,S09,2026-08-10
M34,T03,T04,S08,2026-08-14
M35,T09,T03,S05,2026-08-18
M36,T09,T07,S04,2026-08-19
M37,T09,T04,S05,2026-08-21
M38,T07,T06,S08,2026-08-24
M39,T09,T08,S02,2026-08-25
M40,T04,T05,S02,2026-08-27
M41,T06,T01,S10,2026-08-29
M42,T09,T04,S10,2026-08-30
M43,T04,T01,S02,2026-08-31
M44,T01,T05,S02,2026-09-01
M45,T01,T07,S02,2026-09-02
M46,T09,T04,S05,2026-09-03
M47,T08,T04,S09,2026-09-04
M48,T03,T09,S04,2026-09-06
M49,T08,T07,S04,2026-09-07
M50,T02,T03,S07,2026-09-09
